nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;13807;Banque Populaire Grand Ouest;00818;ANGERS ST SERGE;3, ave Jean Joxe;47.486234,-0.539999
Banque Populaire;16607;Banque Populaire du Sud;00224;LATTES;650, ave de Montpellier;43.568675,3.904545
Banque Populaire;16607;Banque Populaire du Sud;00230;MAUGUIO;8, pl Jules Ferry;43.615989,4.007465
Banque Populaire;16607;Banque Populaire du Sud;00232;SETE TASSIGNY;16, quai de Lattre de Tassigny;43.405142,3.696481
Banque Populaire;13807;Banque Populaire Grand Ouest;00822;SEVREMOINE-ST MACAIRE EN MAUGES;1, pl Henri Doizy;47.140319,-1.045561
Banque Populaire;13807;Banque Populaire Grand Ouest;00826;AVRILLE;207, ave Pierre Mendès France;47.505889,-0.588714
Banque Populaire;10107;BRED-Banque Populaire;00281;ASNIERES SUR SEINE;1, rue de la Concorde;48.911043,2.291708
Banque Populaire;17807;Banque Populaire Occitane;00502;MIRANDE;9, pl d'Astarac;43.514014,0.403961
Banque Populaire;16607;Banque Populaire du Sud;00234;NIMES PROFESSIONS LIBERALES;1, pl de la Maison Carrée;43.83785,4.355838
Banque Populaire;16607;Banque Populaire du Sud;00240;ST GELY DU FESC;Ctre Cial - ZAC des Vautes;43.674898,3.831379
Banque Populaire;13807;Banque Populaire Grand Ouest;00829;BEAUPREAU;5, pl du Maréchal Leclerc;47.201732,-0.993768
Banque Populaire;13807;Banque Populaire Grand Ouest;00831;SAUMUR ST LAMBERT;134, Rte de Rouen St Lambert;47.274369,-0.061468
Banque Populaire;13807;Banque Populaire Grand Ouest;00832;LA ROCHE SUR YON POINT DU JOUR;Résidence Fleur d'Epée;46.679986,-1.435475
Banque Populaire;17807;Banque Populaire Occitane;00603;GRAULHET;10, pl de la République;43.761309,1.988804
Banque Populaire;17807;Banque Populaire Occitane;00604;RODEZ CITE;2, pl de la Cité;44.350744,2.576229
Banque Populaire;17807;Banque Populaire Occitane;00605;RABASTENS;36, promenade des Lices;43.822519,1.72498
Banque Populaire;16607;Banque Populaire du Sud;00241;BPS BEZIERS POLYGONE;Rond Point Neil Alden Amstrong;43.350516,3.253629
Banque Populaire;16607;Banque Populaire du Sud;00242;PEZENAS;28, ave du Maréchal Leclerc;43.459364,3.426939
Banque Populaire;13807;Banque Populaire Grand Ouest;00837;DOUE EN ANJOU;30, pl du Champ de Foire;47.191434,-0.275532
Banque Populaire;13807;Banque Populaire Grand Ouest;00840;ANGERS ANJOU ENTREPRISES;41, rue du Nid de Pie;47.471152,-0.603348
Banque Populaire;17807;Banque Populaire Occitane;00606;REQUISTA;4, bd Vicomte de Cadars;44.032464,2.537126
Banque Populaire;16607;Banque Populaire du Sud;00255;MONTPELLIER CORUM;7, ave de Nîmes;43.615169,3.883332
Banque Populaire;13807;Banque Populaire Grand Ouest;00847;CHANTONNAY;78, rue Nationale;46.686724,-1.050816
Banque Populaire;13807;Banque Populaire Grand Ouest;00853;MONTREUIL JUIGNE;9, rue Victor Hugo;47.527839,-0.61159
Banque Populaire;17807;Banque Populaire Occitane;00614;MILLAU;1, rue du Sacré Coeur;44.100875,3.079466
Banque Populaire;17807;Banque Populaire Occitane;00616;DECAZEVILLE;9, rue Cabrol;44.559624,2.252257
Banque Populaire;16607;Banque Populaire du Sud;00258;MONTPELLIER NORD;145, ave de la Justice de Castelnau;43.627071,3.871603
Banque Populaire;16607;Banque Populaire du Sud;00261;NIMES COURBET;5, bd Amiral Courbet;43.836487,4.362489
Banque Populaire;10107;BRED-Banque Populaire;00317;NOISIEL;100, pl Gaston Menier;48.856068,2.627913
Banque Populaire;17807;Banque Populaire Occitane;00617;LAVAUR;27, allée Jean Jaurès;43.699989,1.816188
Banque Populaire;17807;Banque Populaire Occitane;00619;SEVERAC LE CHATEAU;Ave Pierre Semard;44.32539,3.058912
Banque Populaire;16607;Banque Populaire du Sud;00263;NIMES BIR HAKEIM;125, ave Bir Hakeim;43.842784,4.382968
Banque Populaire;16607;Banque Populaire du Sud;00266;LE GRAU DU ROI;Port Royal;43.533714,4.143047
Banque Populaire;16607;Banque Populaire du Sud;00269;LA GRANDE MOTTE;34, rue Frédéric Mistral;43.559397,4.088166
Banque Populaire;13807;Banque Populaire Grand Ouest;00865;MOUILLERON LE CAPTIF VENDEE AGRI;91, rue Jacques-Yves Cousteau;46.710279,-1.427886
Banque Populaire;10107;BRED-Banque Populaire;00329;LE HAVRE BLEVILLE;1, rue Pierre Guillaume Petit;49.518541,0.095872
Banque Populaire;17807;Banque Populaire Occitane;00631;CASTRES CENTRE AFFAIRES;13, pl Soult;43.604321,2.245978
Banque Populaire;13807;Banque Populaire Grand Ouest;00622;NOIRMOUTIER;22, rue de la Prée au Duc;47.001163,-2.249989
Banque Populaire;13807;Banque Populaire Grand Ouest;00682;ST MALO EMERAUDE BANQUE PRIVEE;33, bd de la République;48.649038,-2.008193
