nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;place_id;place_name;rating;user_ratings_total;geopoints
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00459;MONTS D'OR ECULLY;2, ave Edouard Payen;ChIJ8SDK9o_s9EcRzSUc8IpfNCw;Banque Populaire Auvergne Rhône Alpes;4.0;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00324;ST JEAN CAP FERRAT;5, ave Claude Vignon;ChIJ2TQxaWrbzRIRDtKt7-F698Y;Banque Populaire Méditerranée;5.0;1.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00327;NICE ILE DE BEAUTE;8, pl Ile de Beauté;ChIJ460-wrjazRIRt0xNednPrzI;Banque Populaire Méditerranée;1.6;14.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00020;LONS LE SAUNIER MARJORIE;545, ave d'Offenbourg;ChIJlYntlxzYjEcRKXFBPfufF4Y;Banque Populaire Bourgogne Franche-Comté;4.2;11.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00022;GRAY;4, pl du 4 Septembre;ChIJpVHhUaKtkkcR63dDNqGVx6E;Banque Populaire Bourgogne Franche-Comté;4.1;18.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00461;PONT DE CHERUY;27, rue Centrale;ChIJb-VZrv_K9EcRyUmHQHzy1QI;Banque Populaire Auvergne Rhône Alpes;4.4;5.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00462;MORNANT;12, pl de la Liberté;ChIJCQN0B9b69EcR7tjD1O37AJ4;Banque Populaire Auvergne Rhône Alpes;3.0;4.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00025;LUXEUIL LES BAINS;3, rue Jules Jeanneney;ChIJdUIAzHJWkkcRF5KBxNj3FUY;Banque Populaire Bourgogne Franche-Comté;2.6;18.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00466;LYON BELLECOUR CONFLUENCE;17-19, cours Charlemagne;ChIJIbpvnbXr9EcRm1ELVQZGyh0;Banque Populaire Auvergne Rhône Alpes;3.4;8.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00476;SAINT EXUPERY BRON;192, rue F Roosevelt;ChIJjSj4f3fB9EcRi3yUOcoCHFM;Banque Populaire Auvergne Rhône Alpes;2.6;13.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00334;VENCE;12 bis, avenue de la Résistance;ChIJIa0GWV_NzRIRNlb_MgEsKA0;Banque Populaire Méditerranée;1.0;3.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00336;ST LAURENT DU VAR;557, avenue de la Libération;ChIJdYAoqHrRzRIR8j8OXr0NoYg;Banque Populaire Méditerranée;2.7;16.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00482;LYON PRESQU ILE TERREAUX;2, rue Paul Chenavard;ChIJFUct-P7q9EcRZbTxpFjXllc;Banque Populaire Auvergne Rhône Alpes;2.2;13.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00344;SAINTE MAXIME;3, bd Aristide Briand;ChIJ8R-AbJO4zhIRE26ZyFXYMz8;Banque Populaire Méditerranée;2.2;9.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00035;HERICOURT;24, ave Léon Jouhaux;ChIJDS3FHg4-kkcRwVG9EvMk__g;Banque Populaire Bourgogne Franche-Comté;4.3;16.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00484;EST LYONNAIS CORBAS;69, rue Centrale;ChIJz_WyFuLC9EcRCnJHkBjXi1A;Banque Populaire Auvergne Rhône Alpes;2.2;13.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00491;GIVORS;11, rue Ligonnet;ChIJQSy_kQPn9EcR_70TMVruHsk;Banque Populaire Auvergne Rhône Alpes;3.4;8.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00351;NICE INTERNATIONAL BRANCH/V. HUGO;22, bd Victor Hugo;ChIJkdTr7QnQzRIRjPkKiL_e-90;Banque Populaire;1.9;9.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00353;NICE JEAN MEDECIN;17, avenue Jean Médecin;ChIJB1OF46bazRIRosnMz7QdRfA;Banque Populaire;3.8;20.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00042;DOLE BARBEROUSSE;65, rue des Arènes;ChIJ2cG9iphMjUcRrGGVxXRy4O8;Banque Populaire Bourgogne Franche-Comté;3.4;30.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00498;BOURGOIN SAINT MICHEL;14, rue de la Libération;ChIJNQuk3YYui0cRdAy1z2RH3zc;Banque Populaire Auvergne Rhône Alpes;3.0;4.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00541;AGENCE ENTREPRISES VILLEFRANCHE / SAONE;495, ave Théodore Braun;ChIJlXllsUGF9EcRQwX0G9QGeyw;Banque Populaire Auvergne Rhône Alpes - Agence entreprises;0.0;0.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00355;ANTIBES ST CLAUDE;2222, Route de Grasse;ChIJt_OAsdEqzBIRUAzXq1lRV5A;Banque Populaire Méditerranée;2.3;11.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00362;HYERES GARE;30, ave Edith Cawell;ChIJxcK9Z5kjyRIRUiZ1U7LpSsc;Banque Populaire Méditerranée;4.2;17.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00043;MOIRANS EN MONTAGNE;2, rue Pasteur;ChIJwdF0X0fqjEcR5QRevVAojDM;Banque Populaire Bourgogne Franche-Comté;5.0;2.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00044;MONTBELIARD HEXAGONE;4, rue Vivaldi;ChIJyS-c_t4WkkcRcE0waA6jKXU;Banque Populaire Bourgogne Franche-Comté;3.2;11.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00512;MONTBRISON;15, rue Simon Boyer;ChIJ2-ZRwl4x9EcR5XfgVVuQzFw;Banque Populaire Auvergne Rhône Alpes;3.5;11.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00046;LES ROUSSES;1, pl Centrale;ChIJDe2GwNv3jEcRr96NlZYfVCo;Banque Populaire Bourgogne Franche-Comté;3.5;4.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00516;FIRMINY;85, rue Jean Jaurès;ChIJH8ITHj6w9UcRmu1Kso5on7Q;Banque Populaire Auvergne Rhône Alpes;2.5;11.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00373;LA VALETTE DU VAR;Ave des Frères Lumière;ChIJN4hEwp0ZyRIRJoYDna8L2FU;Banque Populaire Méditerranée;3.4;12.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00374;BRIGNOLES;89, ave du Maréchal Foch;ChIJo1yTfvk9yRIRQ-DL7F64dm0;Banque Populaire Méditerranée;2.7;12.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00054;CHAUSSIN;Pl du 11 Novembre;ChIJI65V4QLL8kcRGwkkLk4JPMk;Banque Populaire Bourgogne Franche-Comté;4.5;6.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00378;TOULON LA RODE;10 rue Henri Poincaré;ChIJu2RgQR8byRIR5Iwmh-EZvKY;Banque Populaire Méditerranée;3.1;7.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00060;MOUCHARD;21, rue de la République;ChIJIYPbQeQ_jUcRiQyC6m0o_xI;Banque Populaire;4.6;8.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00523;ST ETIENNE OUEST JACQUARD;3, pl Jacquard;ChIJyy_8fR2s9UcRriEykwpm7RA;Banque Populaire Auvergne Rhône Alpes;1.8;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00382;HYERES;26, ave Gambetta;ChIJz0qXHKMjyRIR7oRBnq6RMYQ;Banque Populaire Méditerranée;3.7;15.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00383;LA SEYNE SUR MER GARIBALDI;13, ave Garibaldi;ChIJBUB42lgDyRIRj0ffiDO6Co0;Banque Populaire Méditerranée;2.6;19.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00384;TOULON PONT DU LAS;228, ave du 15ème Corps;ChIJPS_S6xobyRIRk2poc3dphqo;Banque Populaire Côte d'Azur (B.P.C.A);1.9;10.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00064;MACON GAMBETTA;10, rue de Lyon;ChIJ0bEYaFRu80cR3XajgYE_cwU;Banque Populaire Bourgogne Franche-Comté;3.7;31.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00065;MACON BIGEONNIERE;1, cours Moreau Clos Bigeonnière;ChIJlcwAblhu80cR0aVToPit_0Q;Banque Populaire Bourgogne Franche-Comté;3.4;15.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00534;ST ETIENNE NORD VILLARS;4, pl Gambetta;ChIJhbBjTrKt9UcR4NoPp6scYHU;Banque Populaire Auvergne Rhône Alpes;2.7;7.0;
