code_etab;nom_etab;code_agence;nom_agence;rue;nom_banque;place_id;rating;user_ratings_total;lat_lng
15135;GRAND EST EUROPE;54357;JOEUF;7, PLACE DE L'HOTEL DE VILLE;Caisse d'Epargne;ChIJmei8OpMplUcRXkkvfqojaKA;2.8;16.0;49.2303008,6.0080245
14707;Banque Populaire Alsace Lorraine Champagne;50046;LINGOLSHEIM;89, rue du Maréchal Foch;Banque Populaire;ChIJO-pJpRO2lkcRUjYfmhnLqT8;2.2;16.0;48.5566109,7.6817812
13807;Banque Populaire Grand Ouest;00725;VITRE;4, bd Saint Martin;Banque Populaire;ChIJD8yT2_EoCUgRJi6werJ-Lek;4.1;16.0;48.1231991,-1.2090872
13825;RHONE ALPES;30379;BOURG SQUARE;13, AVENUE ALSACE LORRAINE;Caisse d'Epargne;ChIJgbNG2MxT80cRgbphg1i1CMQ;3.3;16.0;46.2042458,5.2246822
15135;GRAND EST EUROPE;51306;REIMS SAINT MARCEAUX;1, BOULEVARD SAINT MARCEAUX;Caisse d'Epargne;ChIJEVLfiLV16UcRgzEGaSi9OoY;2.3;16.0;49.2572826,4.0479649
17515;ILE DE FRANCE;260;EVRY LE PARC;CENTRE COMMERCIAL DU PARC;Caisse d'Epargne;ChIJ74DhbKHg5UcRF0D_W_bIye0;3.4;16.0;48.6370195,2.4417462
10207;Banque Populaire Rives de Paris;00057;VITRY SUR SEINE STALINGRAD;28, ave Eugène Pelletan;Banque Populaire;ChIJZYNlQZVz5kcRMwBUKys3FZo;2.2;16.0;48.7941126,2.3856227
16275;HAUTS DE FRANCE;62535;CALAIS LAFAYETTE;6 8 BOULEVARD LAFAYETTE;Caisse d'Epargne;ChIJv7ehWXI_3EcR8kqX_WBFBjo;2.4;16.0;50.9473580,1.8547608
13485;LANGUEDOC ROUSSILLON;42;LIMOUX;2, ALLEE DES MARRONNIERS;Caisse d'Epargne;ChIJvzw-PTjJrxIRTu8vCbySHfU;1.3;16.0;43.0559906,2.2150768
14445;BRETAGNE-PAYS DE LOIRE;223;LES THEBAUDIERES;17 RUE DES THEBAUDIERES;Caisse d'Epargne;ChIJDWu3tgHtBUgRYBg520nmYB0;1.7;16.0;47.2449861,-1.6055734
13485;LANGUEDOC ROUSSILLON;248;MONTPELLIER PAGEZY;3 RUE PAGEZY;Caisse d'Epargne;ChIJ-56u8KavthIRKQLLj67U6Dg;2.6;16.0;43.6047516,3.8791539
11425;NORMANDIE;14381;ALENCON COURTEILLE;4 PLACE DU POINT DU JOUR;Caisse d'Epargne;ChIJ22ic0vQM4kcRu5--tNXyWLM;3.6;16.0;48.4356098,0.1051076
14607;Banque Populaire Méditerranée;00362;HYERES GARE;30, ave Edith Cawell;Banque Populaire;ChIJxcK9Z5kjyRIRUiZ1U7LpSsc;4.1;16.0;43.1104109,6.1254386
17807;Banque Populaire Occitane;11002;VIC FEZENSAC;8-10, cours Albert Delucq;Banque Populaire;ChIJQZJP59OKqRIRCDRsCu_fM0E;3.2;16.0;43.7581213,0.3015683
17515;ILE DE FRANCE;662;LES ULIS VILLE;5 AVENUE DU BERRY;Caisse d'Epargne;ChIJ2RIVLBHX5UcREz-DcjGxt8Y;2.2;16.0;48.6823869,2.1682223
11315;PROVENCE ALPES CORSE REUNION;203;LES CAILLOLS;AVENUE WILLIAM BOOTH;Caisse d'Epargne;ChIJQfS1sN2-yRIR0SPFUoXAqrg;2.9;16.0;43.2957309,5.4442625
14607;Banque Populaire Méditerranée;00353;NICE JEAN MEDECIN;17, avenue Jean Médecin;Banque Populaire;ChIJB1OF46bazRIRosnMz7QdRfA;3.8;16.0;43.6999915,7.2681711
14707;Banque Populaire Alsace Lorraine Champagne;00037;JARVILLE LA MALGRANGE;20, rue de la République;Banque Populaire;ChIJmTj051eYlEcR7pZYJWQwqYY;2.6;16.0;48.6735955,6.2018762
10807;Banque Populaire Bourgogne Franche-Comté;00035;HERICOURT;24, ave Léon Jouhaux;Banque Populaire;ChIJDS3FHg4-kkcRwVG9EvMk__g;4.0;16.0;47.5783488,6.7638081
17807;Banque Populaire Occitane;00319;MONTAUBAN CENTRE AFFAIRES;495, ave de Paris;Banque Populaire;ChIJbWzjEyoTrBIR4jpBh_sOCpE;3.3;16.0;44.0341150,1.3754405
13135;MIDI PYRENEES;119;BLAGNAC GRAND NOBLE;24, PLACE DE CATALOGNE;Caisse d'Epargne;ChIJzfI_N0SlrhIRV8DXVb2f7Tk;1.8;16.0;43.6414962,1.3792953
13135;MIDI PYRENEES;85;CASTELGINEST;6, RUE MAGRESSOLLES;Caisse d'Epargne;ChIJ8wAXOhGkrhIRw18Vyn1Nc1Q;1.9;16.0;43.6927264,1.4289970
42559;Crédit Coopératif;37;NIMES;45, avenue Jean-Jaurès;Credit Cooperatif;ChIJda-quKgttBIRgDPgoJYac48;4.3;16.0;43.8318801,4.3522815
14707;Banque Populaire Alsace Lorraine Champagne;50022;SAVERNE;94, Grand'rue;Banque Populaire;ChIJJdxs4KOglkcRvZN42H9uWRQ;2.9;16.0;48.7406990,7.3634650
10107;BRED-Banque Populaire;00129;PARIS MOZART;46, ave Mozart;Banque Populaire;ChIJ_QG_jax65kcR4F92Qo3V11s;2.6;16.0;48.8557730,2.2701556
17515;ILE DE FRANCE;691;NOISY-LE-ROI;5, RUE ANDRÉ LE BOURBLANC;Caisse d'Epargne;ChIJewN5NMmH5kcRk-uEGvADM4U;1.9;16.0;48.8420629,2.0676837
18707;Banque Populaire Val de France;00020;SARTROUVILLE;44, ave Jean Jaurès;Banque Populaire;ChIJu_-k_9dj5kcRjovCDQZFBnI;3.5;16.0;48.9404409,2.1599464
14707;Banque Populaire Alsace Lorraine Champagne;50032;BRUMATH;13, rue Raymond Poincaré;Banque Populaire;ChIJZa6Pahq_lkcROyklxRBaaoM;3.3;16.0;48.7293135,7.7111552
